Year,State,Data Status,Residential Revenue in Thousand Dollars,Residential Sales in Megawatthours,Residential Customer Count,Residential Price in Cents/kWh,Commercial Revenue in Thousand Dollars,Commercial Sales in Megawatthours,Commercial Customer Count,Commercial Price in Cents/kWh,Industrial Revenue in Thousand Dollars,Industrial Sales in Megawatthours,Industrial Customer Count,Industrial Price in Cents/kWh,Transportation Revenue in Thousand Dollars,Transportation Sales in Megawatthours,Transportation Customer Count,Transportation Price in Cents/kWh,Other Revenue in Thousand Dollars,Other Sales in Megawatthours,Other Customer Count,Other Price in Cents/kWh,Total Revenue in Thousand Dollars,Total Sales in Megawatthours,Total Customer Count,Total Price in Cents/kWh
1990,AK,Final,167998,1661309,.,10,177645,1972116,.,9,36308,459283,.,8,.,.,.,.,21301,161130,.,13,403247,4253839,.,9
1990,AL,Final,1366083,20718679,.,7,738047,10978788,.,7,1199222,27617687,.,4,.,.,.,.,34241,610459,.,6,3337594,59925613,.,6
1990,AR,Final,851685,10557865,.,8,422196,6075078,.,7,516152,10126207,.,5,.,.,.,.,42942,606143,.,7,1832979,27365296,.,7
1990,AZ,Final,1390115,15377684,.,9,1138694,13731291,.,8,560111,10033741,.,6,.,.,.,.,125807,2326872,.,5,3214725,41469585,.,8
1990,CA,Final,6646479,66574670,.,10,7541253,79691298,.,9,4071492,55891513,.,7,.,.,.,.,404381,8935441,.,5,18663604,211092921,.,9
1990,CO,Final,687084,9787279,.,7,768032,13553025,.,6,295788,6586860,.,4,.,.,.,.,63149,867424,.,7,1814049,30794589,.,6
1990,CT,Final,1038460,10375882,.,10,942670,10342476,.,9,460626,6099932,.,8,.,.,.,.,47353,368947,.,13,2489109,27187240,.,9
1990,DC,Final,90320,1480356,.,6,322119,5073157,.,6,153717,2976219,.,5,.,.,.,.,18427,318713,.,6,584583,9848445,.,6
1990,DE,Final,222545,2651447,.,8,159717,2310713,.,7,147636,3271591,.,5,.,.,.,.,5179,50114,.,10,535072,8283868,.,6
1990,FL,Final,5527171,71114670,.,8,3421034,51342235,.,7,844104,16604581,.,5,.,.,.,.,305558,4473395,.,7,10097869,143534878,.,7
1990,GA,Final,2233265,29932836,.,7,1676868,22867547,.,7,1290544,26717324,.,5,.,.,.,.,74791,922408,.,8,5275470,80440115,.,7
1990,HI,Final,238408,2323950,.,10,223319,2194417,.,10,282628,3733754,.,8,.,.,.,.,5492,58419,.,9,749848,8310540,.,9
1990,IA,Final,821178,10513101,.,8,421538,6727380,.,6,453290,11392481,.,4,.,.,.,.,48622,804416,.,6,1744626,29437380,.,6
